"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 159.4
Aoverall 162.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48551","47297","49211","46703",,129.9,,95.1,99,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48504","47320","49144","46760",,133.4,,95.2,99,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48536","47288","49136","46736",,110.7,,95.1,99,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48510","47314","49134","46742",,128.2,,95.1,99,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48558","47293","49110","46787",,132.2,,95.2,99,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48500","47300","49085","46760",,89.5,,95.1,99,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48710","47494","49396","46925",,,,,96.8,
"Boundary End AR Level J",,,,,"49235","47771","50135","47139",,,,,97.5,
"AR Age Level J",,,,,"49450","47921","50489","47250",,,,,97.4,
"R_Date NZA-2316","52527","47569","...","46839","49455","47935","50477","47281",,117.5,,95.2,97.4,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49705","48049","50864","47349",,,,,96.3,
"Boundary End AR Carbonate above J",,,,,"50226","48313","51639","47652",,,,,94.2,
"AR Age Carbonate above J",,,,,"50447","48419","51920","47750",,,,,92.6,
"N AR U-series 50400±2600","53078","47722","55600","45200","50512","48406","51942","47730",,126.4,,95.1,93.8,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50875","48423","52219","47826",,,,,56.6,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M1 regional cultural backbone baseline v2",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","3.072","5.37764e-17","3.188",,100,,,5.7,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,91.3,
"Outlier_Model General",,,,,"-143","143","-1399","1718",,,,,49.9,
"Curve Atmospheric",,,,,,,,,,,,,,
