"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 153
Aoverall 159.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47051","45950","47663","45466",,,,,98.8,
"Boundary End AR Travertine H-I",,,,,"47457","46294","48056","45765",,,,,98.8,
"AR Age Travertine H-I",,,,,"47623","46491","48238","45975",,,,,98.9,
"N AR U-series 45100±3100","48293","41907","51300","38900","47664","46455","48253","45959",,114.3,,95.1,99.2,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47819","46669","48439","46150",,,,,98.5,
"Boundary End AR Travertine J-I",,,,,"48192","47059","48779","46528",,,,,96.9,
"AR Age Travertine J-I",,,,,"48404","47250","49004","46726",,,,,97.7,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48436","47218","49074","46667",,125.1,,95.1,98.1,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48424","47240","49000","46744",,93,,95.1,97.9,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48476","47180","49097","46667",,120.7,,95.1,98.1,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48400","47225","49050","46675",,136,,95.1,98.1,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48419","47231","49079","46670",,128.6,,95.1,98.1,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48392","47240","49000","46712",,133,,95.2,98,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48416","47216","48992","46712",,113.4,,95.1,98.1,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48432","47210","49030","46690",,129.9,,95.1,98.1,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48420","47224","49041","46695",,130.7,,95.1,98.1,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48380","47225","48980","46715",,94,,95.1,98.1,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48600","47364","49260","46864",,,,,96,
"Boundary End AR Level J",,,,,"49072","47660","49917","47044",,,,,96.5,
"AR Age Level J",,,,,"49317","47799","50205","47134",,,,,96.5,
"R_Date NZA-2316","52527","47569","...","46839","49313","47813","50194","47139",,114.3,,95.1,96.5,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49538","47915","50546","47225",,,,,95.9,
"Boundary End AR Carbonate above J",,,,,"49981","48143","51178","47419",,,,,94.8,
"AR Age Carbonate above J",,,,,"50227","48222","51469","47552",,,,,94.8,
"N AR U-series 50400±2600","53078","47722","55600","45200","50226","48250","51474","47470",,123.6,,95.1,95.7,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50564","48227","51719","47593",,,,,56.9,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M3 transition-core baseline",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.324","5.37764e-17","3.176",,100,,,99.7,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-92","91","-893","973",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
