"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 159.4
Aoverall 162.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44315","43312","44867","42982",,,,,99.4,
"Boundary End AR Carbonate below D",,,,,"44873","43748","45473","43285",,,,,99.3,
"AR Age Carbonate below D",,,,,"45116","44002","45709","43505",,,,,99.6,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","44000","45725","43500",,137.3,,95.1,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45375","44228","45966","43694",,,,,99.2,
"Boundary End AR Level E",,,,,"45829","44719","46393","44217",,,,,99.2,
"AR Age Level E",,,,,"46011","44955","46594","44482",,,,,99.6,
"R_Date NZA-2314","46722","44746","48336","44235","45991","44977","46568","44543",,126.3,,95.3,99.6,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46226","45154","46803","44706",,,,,99.1,
"Boundary End AR Level H",,,,,"46646","45570","47248","45076",,,,,98.8,
"AR Age Level H",,,,,"46853","45779","47444","45287",,,,,99.4,
"R_Date CAMS_H","52337","44165","...","42911","46857","45782","47444","45287",,115.6,,95,99.4,
"R_Date NZA-2315","48181","45723","50184","44765","46861","45810","47444","45324",,123.1,,95.2,99.4,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47053","45954","47667","45462",,,,,98.8,
"Boundary End AR Travertine H-I",,,,,"47458","46313","48059","45775",,,,,98.9,
"AR Age Travertine H-I",,,,,"47630","46504","48251","45990",,,,,99.2,
"N AR U-series 45100±3100","48293","41907","51300","38900","47664","46455","48253","45959",,114.2,,95.1,99.5,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47824","46669","48432","46162",,,,,98.7,
"Boundary End AR Travertine J-I",,,,,"48225","47087","48790","46559",,,,,97.3,
"AR Age Travertine J-I",,,,,"48397","47264","48998","46732",,,,,98.3,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48465","47218","49074","46667",,125.3,,95.1,98.8,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48424","47256","49000","46760",,93.4,,95.1,98.6,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48503","47180","49097","46667",,120.9,,95.1,98.8,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48425","47250","49050","46675",,136,,95.1,98.7,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48419","47231","49079","46703",,128.7,,95.1,98.7,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48408","47256","49000","46744",,133.1,,95.2,98.7,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48416","47216","48992","46736",,113.1,,95.1,98.7,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48406","47262","49004","46716",,129.8,,95.1,98.7,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48420","47247","49041","46695",,130.9,,95.1,98.7,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48380","47255","48980","46715",,93.5,,95.1,98.7,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48642","47385","49277","46874",,,,,96.7,
"Boundary End AR Level J",,,,,"49068","47655","49928","47031",,,,,97.2,
"AR Age Level J",,,,,"49301","47800","50244","47154",,,,,97.3,
"R_Date NZA-2316","52527","47569","...","46839","49297","47805","50242","47162",,114.5,,95.1,97.3,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49530","47894","50577","47240",,,,,96.7,
"Boundary End AR Carbonate above J",,,,,"49980","48136","51217","47450",,,,,96,
"AR Age Carbonate above J",,,,,"50207","48220","51459","47505",,,,,95.8,
"N AR U-series 50400±2600","53078","47722","55600","45200","50252","48250","51500","47496",,123.7,,95.1,96.7,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50542","48204","51787","47570",,,,,55.9,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M3 transition-core baseline",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.308","5.37764e-17","3.18",,100,,,99.3,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-90","91","-903","958",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
