"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 140.6
"Boundary Start AR Level D",,,,,"44320","43304","44880","42983",,,,,99.3,
"Boundary End AR Carbonate below D",,,,,"44885","43754","45496","43287",,,,,99.3,
"AR Age Carbonate below D",,,,,"45138","43990","45729","43502",,,,,99.6,
"N AR U-series 44900±2500","47475","42325","49900","39900","45175","43975","45750","43475",,138.1,,95.7,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45392","44231","45995","43697",,,,,99.1,
"Boundary End AR Level E",,,,,"45824","44711","46445","44221",,,,,99.1,
"AR Age Level E",,,,,"46024","44944","46635","44483",,,,,99.4,
"R_Date NZA-2314","46722","44746","48336","44235","45999","44968","46605","44546",,127.3,,96.2,99.4,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46238","45163","46844","44708",,,,,99.1,
"Boundary End AR Level H",,,,,"46708","45586","47312","45082",,,,,98.4,
"AR Age Level H",,,,,"46907","45802","47491","45294",,,,,98.9,
"R_Date CAMS_H","52337","44165","...","42911","46906","45796","47493","45293",,116.1,,95.4,98.9,
"R_Date NZA-2315","48181","45723","50184","44765","46908","45830","47483","45309",,124.8,,96.1,98.9,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47107","45964","47723","45471",,,,,98.3,
"Boundary End AR Travertine H-I",,,,,"47506","46342","48094","45799",,,,,98.3,
"AR Age Travertine H-I",,,,,"47681","46524","48291","46005",,,,,98.5,
"N AR U-series 45100±3100","48293","41907","51300","38900","47726","46486","48346","45959",,113.6,,95.5,98.8,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47902","46728","48486","46172",,,,,98.1,
"Boundary End AR Travertine J-I",,,,,"48282","47141","48876","46618",,,,,97,
"AR Age Travertine J-I",,,,,"48499","47350","49085","46802",,,,,98.3,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48552","47305","49132","46754",,127.5,,95.6,98.7,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48520","47352","49160","46760",,97.9,,95.7,98.6,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48530","47315","49124","46775",,123.4,,95.6,98.7,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48525","47300","49100","46775",,135.8,,95.7,98.7,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48551","47297","49178","46736",,130.6,,95.6,98.7,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48504","47336","49128","46776",,134.5,,96,98.6,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48512","47312","49136","46736",,111.3,,95.6,98.7,
