"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 151.3
Aoverall 157.1",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48440","47256","49000","46744",,93.3,,95.1,97.9,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48503","47180","49097","46667",,120.8,,95.1,98,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48425","47250","49075","46650",,136,,95.1,98,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48452","47231","49079","46670",,128.7,,95.1,98,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48424","47240","49000","46728",,133.1,,95.2,98,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48440","47216","48992","46712",,113.2,,95.1,98,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48432","47236","49030","46690",,129.8,,95.1,98,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48420","47247","49041","46695",,130.8,,95.1,98,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48395","47255","48980","46715",,93.7,,95.1,98,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48647","47410","49280","46877",,,,,96.2,
"Boundary End AR Level J",,,,,"49107","47672","49932","47025",,,,,96.2,
"AR Age Level J",,,,,"49304","47813","50198","47111",,,,,96.3,
"R_Date NZA-2316","52527","47569","...","46839","49314","47825","50195","47111",,114.4,,95.1,96.3,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49537","47929","50535","47196",,,,,95.8,
"Boundary End AR Carbonate above J",,,,,"50032","48160","51147","47418",,,,,95,
"AR Age Carbonate above J",,,,,"50268","48302","51422","47480",,,,,94.8,
"N AR U-series 50400±2600","53078","47722","55600","45200","50226","48302","51500","47444",,123.6,,95.1,95.6,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50677","48353","51739","47532",,,,,59.9,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M3 transition-core baseline",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.3","5.37764e-17","3.18",,100,,,99.6,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-92","93","-902","980",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
