"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 157.4
Aoverall 163.2",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48476","47180","49070","46667",,120.8,,95.1,94.4,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48400","47225","49025","46700",,136.1,,95.1,94.3,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48386","47264","49079","46703",,128.7,,95.1,94.5,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48392","47240","49000","46744",,133.2,,95.2,94.2,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48416","47216","48992","46736",,113.4,,95.1,94.5,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48406","47236","48978","46742",,130,,95.1,94.4,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48397","47224","48995","46741",,130.8,,95.1,94.4,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48380","47240","48980","46730",,94,,95.1,94.4,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48601","47403","49247","46910",,,,,91.4,
"Boundary End AR Level J",,,,,"49043","47659","49881","47088",,,,,91,
"AR Age Level J",,,,,"49251","47770","50186","47201",,,,,90.3,
"R_Date NZA-2316","52527","47569","...","46839","49257","47795","50173","47207",,114.4,,95.1,90.2,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49478","47884","50498","47292",,,,,89.1,
"Boundary End AR Carbonate above J",,,,,"49963","48130","51108","47506",,,,,87.2,
"AR Age Carbonate above J",,,,,"50123","48229","51336","47566",,,,,86,
"N AR U-series 50400±2600","53078","47722","55600","45200","50174","48250","51370","47574",,123.6,,95.1,87.3,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50527","48252","51691","47612",,,,,63.1,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M3 transition-core baseline",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.384","5.37764e-17","3.184",,100,,,98.7,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-90","91","-886","958",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
