"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 131.9
Aoverall 145.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End AR Carbonate below D",,,,,"44911","43748","45488","43286",,,,,99.2,
"AR Age Carbonate below D",,,,,"45136","43999","45733","43500",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45175","43975","45750","43475",,138.3,,95.9,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45389","44229","46005","43691",,,,,99.3,
"Boundary End AR Level E",,,,,"45838","44735","46453","44234",,,,,99.3,
"AR Age Level E",,,,,"46033","44965","46634","44490",,,,,99.6,
"R_Date NZA-2314","46722","44746","48336","44235","46016","44985","46608","44555",,127.6,,96.5,99.6,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46248","45152","46860","44705",,,,,99.3,
"Boundary End AR Level H",,,,,"46704","45603","47302","45088",,,,,98.8,
"AR Age Level H",,,,,"46894","45798","47497","45314",,,,,99.3,
"R_Date CAMS_H","52337","44165","...","42911","46892","45804","47495","45311",,116.2,,95.5,99.3,
"R_Date NZA-2315","48181","45723","50184","44765","46889","45824","47486","45346",,125.3,,96.3,99.3,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47116","45980","47705","45472",,,,,98.8,
"Boundary End AR Travertine H-I",,,,,"47516","46330","48099","45809",,,,,99,
"AR Age Travertine H-I",,,,,"47677","46542","48281","46011",,,,,99.3,
"N AR U-series 45100±3100","48293","41907","51300","38900","47726","46486","48315","45959",,113.9,,95.6,99.5,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47883","46718","48481","46191",,,,,99,
"Boundary End AR Travertine J-I",,,,,"48258","47125","48839","46616",,,,,97.4,
"AR Age Travertine J-I",,,,,"48462","47313","49070","46784",,,,,99,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48523","47276","49103","46754",,127.3,,95.7,99.4,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48504","47320","49128","46760",,97,,95.9,99.3,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48530","47288","49124","46748",,123,,95.7,99.4,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48475","47300","49100","46750",,136.4,,95.9,99.4,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48518","47264","49178","46736",,130.4,,95.7,99.4,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48488","47304","49096","46760",,134.7,,96.2,99.3,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48488","47288","49112","46736",,112.1,,95.7,99.4,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48484","47314","49108","46742",,129.5,,95.8,99.4,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48512","47293","49087","46764",,133,,96,99.3,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48470","47285","49055","46760",,91.3,,95.8,99.3,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48697","47501","49338","46919",,,,,96.9,
"Boundary End AR Level J",,,,,"49192","47753","50070","47116",,,,,98.1,
"AR Age Level J",,,,,"49426","47900","50395","47224",,,,,97.9,
"R_Date NZA-2316","52527","47569","...","46839","49424","47908","50401","47236",,117.6,,95.8,97.8,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49665","48022","50759","47353",,,,,96.8,
"Boundary End AR Carbonate above J",,,,,"50163","48255","51435","47515",,,,,95,
"AR Age Carbonate above J",,,,,"50401","48405","51777","47650",,,,,93.8,
"N AR U-series 50400±2600","53078","47722","55600","45200","50460","48380","51838","47626",,126.8,,95.8,95.5,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50907","48298","52145","47598",,,,,55.9,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M5-FPM-S1 regional PM end baseline",,,,,,,,,,,,,,
